Link,IsHomepage,Textmatch_P,Textmatch_S,Textmatch_PP,Link_Match
http://www.peoplesearcher.com/privacy,,ccpa||california consumer privacy act,"only you, or a person registered with the california||non-discrimination||not discriminate||authorized representative",privacy policy,['privacy']
http://www.sterlingstrategies.co/privacy-policy,,ccpa||california consumer privacy act,right to know||not discriminate||authorized representative,privacy policy,"['privacy', 'policy']"
http://appsci.io/privacy-policy,,california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://famousbirthdays.com/privacy/,,ccpa||california consumer privacy act,right to know||right to access,privacy policy,['privacy']
http://intentgine.com/privacy-policy/,,ccpa,right to know||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://intentmacro.com/privacy-policy,,ccpa,right to know||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://blis.com/privacy-centre/,,ccpa||california consumer privacy act,right to access||non-discrimination,privacy policy,['privacy']
https://buildertrend.com/company/privacy-policy/,,ccpa||california consumer privacy act,right to know||right to access||authorized agent,privacy policy,"['privacy', 'policy']"
https://deepsync.com/privacy-policy/,,ccpa,right to know||nondiscrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://donorbase.com/privacy-policy/,,ccpa||california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
https://homedata.com/privacy-policy,,ccpa,right to know||nondiscrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://listservicedirect.com/privacy-policy/,,ccpa,right to know||non-discrimination||not discriminate||authorized representative,privacy policy,"['privacy', 'policy']"
https://logiq.com/privacy-policy/,,ccpa,right to know||not discriminate||authorized agent||authorized representative,privacy policy,"['privacy', 'policy']"
https://sharelocalmedia.com/privacy-policy,,ccpa||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent||authorized representative,privacy policy,"['privacy', 'policy']"
https://www.data-axle.com/privacy-policy/,,ccpa||california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.demandbase.com/privacy,,california consumer privacy act,authorized agent||not be discriminate,privacy policy,['privacy']
https://www.hivestack.com/privacy-policy/,,california consumer privacy act,right to access,privacy policy,"['privacy', 'policy']"
https://www.keyopinionleaders.com/privacy,,ccpa,right to know||non-discrimination||not discriminate,privacy policy,['privacy']
https://www.roq.ad/privacy-policy-roqad/,,ccpa||california consumer privacy act,right to know||nondiscrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.t-mobile.com/privacy-center/our-practices/privacy-policy,,,right to access||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.tunnldata.com/ccpa-request-form,,ccpa,,privacy policy,['ccpa']
http://www.billtrust.com/privacy-policy/,,ccpa||california consumer privacy act,right to know||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://www.esiteanalytics.com/privacy-policy/,,ccpa,right to know||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://www.mrginc.com/privacy-policy,,ccpa||california consumer privacy act,right to know||authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
http://www.peekyou.com/privacy,,ccpa||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,['privacy']
http://preferredcommunications.com/privacy-policy/,,ccpa||california consumer privacy act,authorized agent,privacy policy,"['privacy', 'policy']"
https://marketforcecorp.com/privacy-policy/,,ccpa||california consumer privacy act,right to know||not be discriminate,privacy policy,"['privacy', 'policy']"
https://pickmedicare.com/privacy-policy/,,ccpa||california consumer privacy act,"only you, or a person registered with the california||authorized representative",privacy policy,"['privacy', 'policy']"
https://www.dnb.com/ca-en/utility-pages/privacy-policy.html,,ccpa||california consumer privacy act,right to know||right to access||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.iqvia.com/about-us/privacy/ccpa/do-not-sell,,ccpa,right to access||authorized agent,privacy policy,"['privacy', 'ccpa']"
https://www.iwave.com/privacy-policy/,,ccpa||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://warmly.ai/p/privacy-policy,,ccpa||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://www.autoweb.com/privacy-policy.html,,ccpa||california consumer privacy act,right to know||authorized agent||authorized representative,privacy policy,"['privacy', 'policy']"
http://www.bridg.com/privacy-policy,,california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
https://firstdirectmarketing.com/privacy-policy/,,ccpa||california consumer privacy act,right to know,privacy policy,"['privacy', 'policy']"
https://www.listmatch.co/privacy,,ccpa||california consumer privacy act,right to access,privacy policy,['privacy']
https://pipl.com/resources/privacy-documents/my-information-privacy,,,,privacy policy,['privacy']
https://www.digdevdirect.com/privacy-policy/,,ccpa||california consumer privacy act,"only you, or a person registered with the california||non-discrimination||not discriminate||authorized representative",privacy policy,"['privacy', 'policy']"
https://www.n-focus.com/~nfci/index.php/privacy-policy/#Header,,ccpa||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://www.adrearubin.com/privacy-policy-california/,,ccpa||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized representative,privacy policy,"['privacy', 'policy']"
http://www.allwebleads.com/privacy#digital-advertising,,ccpa||california consumer privacy act,right to know||not be discriminate,privacy policy,['privacy']
http://www.veraset.com/verasetnew/ccpa-privacy-policy,,ccpa||california consumer privacy act,nondiscrimination||authorized agent,privacy policy,"['privacy', 'policy', 'ccpa']"
http://fifty.io/us/privacy-policy,,ccpa||california consumer privacy act,right to access,privacy policy,"['privacy', 'policy']"
https://dstillery.com/privacy-policy/,,ccpa||california consumer privacy act,right to know||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://legal.loopme.com/privacy-center,,ccpa||california consumer privacy act,nondiscrimination,privacy policy,['privacy']
https://webbula.com/privacy-policy/,,ccpa||california consumer privacy act,authorized agent,privacy policy,"['privacy', 'policy']"
https://www.hybridtheory.com/website-privacy-policy/,,ccpa||california consumer privacy act,right to know||right to access||not be discriminate,privacy policy,"['privacy', 'policy']"
https://www.mediamath.com/privacy-policy/,,ccpa||california consumer privacy act,right to know||right to access||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.sentilink.com/privacy,,ccpa||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,['privacy']
http://www.resonate.com/privacy-policy/#ccpa,,ccpa||california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy', 'ccpa']"
http://www.Wiland.com/privacy-choices#how-to-submit-privacy-choices,,ccpa||california consumer privacy act,right to know||authorized agent,privacy policy,['privacy']
http://pulsepoint.com/legal/platform-privacy-policy,,ccpa||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized agent||authorized representative,privacy policy,"['privacy', 'policy']"
https://inmarket.com/privacy/,,ccpa||california consumer privacy act,right to know||right to access||nondiscrimination||not discriminate||authorized agent,privacy policy,['privacy']
https://mediawallah.com/privacy-policy/,,ccpa||california consumer privacy act,"right to access||only you, or a person registered with the california||not discriminate||authorized representative",privacy policy,"['privacy', 'policy']"
https://samba.tv/users/privacy-policy,,ccpa||california consumer privacy act,right to access,privacy policy,"['privacy', 'policy']"
https://www.growbots.com/privacy/,,ccpa||california consumer privacy act,right to know||right to access||not discriminate,privacy policy,['privacy']
https://www.mobilewalla.com/business-services-privacy-policy,,ccpa||california consumer privacy act,not discriminate,privacy policy,"['privacy', 'policy']"
https://www.cognism.com/en/privacy-policy,,ccpa||california consumer privacy act,authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
https://www.onaudience.com/internet-advertising-privacy-policy,,ccpa||california consumer privacy act,right to access,privacy policy,"['privacy', 'policy']"
https://www.statsocial.com/privacy-policy,,ccpa||california consumer privacy act,right to access||authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
http://www.catalyzeai.com/privacy-policy,,ccpa||california consumer privacy act,"right to access||only you, or a person registered with the california||non-discrimination||authorized agent",privacy policy,"['privacy', 'policy']"
http://www.grayhairsoftware.com/privacy-policy/,,ccpa||california consumer privacy act,right to access||non-discrimination||authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
http://www.mediaocean.com/privacy-policy,,ccpa||california consumer privacy act,not discriminate,privacy policy,"['privacy', 'policy']"
http://www.privaterecords.net/privacy,,ccpa||california consumer privacy act,"only you, or a person registered with the california||non-discrimination||not discriminate||authorized representative",privacy policy,['privacy']
http://openpeoplesearch.com/Privacy,,ccpa||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,['privacy']
https://aslmarketing.com/privacy-policy/,,ccpa,right to know||nondiscrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://atlanticfox.com/privacy-policy/,,ccpa||california consumer privacy act,right to know||non-discrimination||not discriminate,privacy policy,"['privacy', 'policy']"
https://cre.moodysanalytics.com/privacy/,,ccpa||california consumer privacy act,"only you, or a person registered with the california||not discriminate",privacy policy,['privacy']
https://newsedge.com/privacy_policy/,,ccpa||california consumer privacy act,"only you, or a person registered with the california||not discriminate",privacy policy,"['privacy', 'policy']"
http://socialcatfish.com/faq/privacy/#ca-nv-privacy,,ccpa||california consumer privacy act,non-discrimination||not discriminate||authorized agent||not be discriminate,privacy policy,['privacy']
https://wodwo.co/privacy-policy/,,ccpa||california consumer privacy act,right to access||nondiscrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.lighthouselist.com/privacy-policy,,ccpa||california consumer privacy act,not discriminate||authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
http://www.businesswatchnetwork.com/privacy-policy#ccpa,,ccpa||california consumer privacy act,right to know||non-discrimination,privacy policy,"['privacy', 'policy', 'ccpa']"
http://www.cowen.com/kyber-data-science-disclosures/kyber-privacy-supplement/,,ccpa||california consumer privacy act,right to know||non-discrimination||authorized agent||authorized representative,privacy policy,['privacy']
http://www.HealthWiseData.com/privacy,,ccpa||california consumer privacy act,right to know||nondiscrimination||authorized agent,privacy policy,['privacy']
https://www.adadapted.com/resources/adadapted-privacy-policy,,ccpa||california consumer privacy act,right to know||right to access,privacy policy,"['privacy', 'policy']"
https://www.findem.ai/privacy-policy,,california consumer privacy act,not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://blackbaud.com/company/privacy-policy/north-america,,ccpa||california consumer privacy act,right to know||right to access||authorized agent,privacy policy,"['privacy', 'policy']"
https://alescodata.com/privacy-policy/,,ccpa||california consumer privacy act,not be discriminate,privacy policy,"['privacy', 'policy']"
